date,ticker,close_usd
2026-08-04,CORZ,22.81
2026-08-04,HIVE,2.91
2026-08-04,WULF,18.88
2026-08-04,CIFR,20.38
2026-08-04,HUT,101.16
2026-08-04,CANG,1.64
2026-08-04,ABTC,6.14
2026-08-04,CAN,0.20
2026-08-05,MARA,11.24
2026-08-05,CLSK,13.50
2026-08-05,RIOT,21.50
2026-08-05,IREN,38.89
2026-08-05,BTDR,11.06
2026-08-05,CORZ,21.77
2026-08-05,HIVE,2.84
2026-08-05,WULF,18.07
2026-08-05,CIFR,18.71
2026-08-05,HUT,92.76
2026-08-05,CANG,1.60
2026-08-05,ABTC,6.54
2026-08-05,CAN,0.20
2026-08-06,MARA,10.65
2026-08-06,CLSK,12.75
2026-08-06,RIOT,21.21
2026-08-06,IREN,37.93
2026-08-06,BTDR,10.52
2026-08-06,CORZ,21.05
2026-08-06,HIVE,2.76
2026-08-06,WULF,17.62
2026-08-06,CIFR,18.21
2026-08-06,HUT,90.65
2026-08-06,CANG,1.59
2026-08-06,ABTC,6.19
2026-08-06,CAN,0.19
2026-08-07,MARA,10.09
2026-08-07,CLSK,12.30
2026-08-07,RIOT,20.52
2026-08-07,IREN,41.23
2026-08-07,BTDR,10.88
2026-08-07,CORZ,21.01
2026-08-07,HIVE,2.84
2026-08-07,WULF,17.08
2026-08-07,CIFR,17.18
2026-08-07,HUT,88.59
2026-08-07,CANG,1.67
2026-08-07,ABTC,6.47
2026-08-07,CAN,0.21
2026-08-10,MARA,9.56
2026-08-10,CLSK,11.59
2026-08-10,RIOT,19.40
2026-08-10,IREN,38.74
2026-08-10,BTDR,8.69
2026-08-10,CORZ,19.44
2026-08-10,HIVE,2.60
2026-08-10,WULF,16.20
2026-08-10,CIFR,16.33
2026-08-10,HUT,85.66
2026-08-10,CANG,1.65
2026-08-10,ABTC,7.07
2026-08-10,CAN,0.20
2026-08-11,MARA,9.68
2026-08-11,CLSK,11.52
2026-08-11,RIOT,20.24
2026-08-11,IREN,39.75
2026-08-11,BTDR,8.69
2026-08-11,CORZ,19.76
2026-08-11,HIVE,2.65
2026-08-11,WULF,16.75
2026-08-11,CIFR,17.21
2026-08-11,HUT,88.78
2026-08-11,CANG,1.72
2026-08-11,ABTC,6.92
2026-08-11,CAN,0.20
2026-08-12,MARA,9.64
2026-08-12,CLSK,12.18
2026-08-12,RIOT,20.32
2026-08-12,IREN,43.67
2026-08-12,BTDR,9.02
2026-08-12,CORZ,20.87
2026-08-12,HIVE,2.74
2026-08-12,WULF,17.19
2026-08-12,CIFR,17.87
2026-08-12,HUT,90.77
2026-08-12,CANG,2.19
2026-08-12,ABTC,6.93
2026-08-12,CAN,0.21
2026-08-13,MARA,9.21
2026-08-13,CLSK,11.52
2026-08-13,RIOT,19.21
2026-08-13,IREN,44.76
2026-08-13,BTDR,8.76
